종목코드,종목명,시가총액,섹터,,,섹터분류
062040,산일전기,"6,582,407,750,000",전력기기·전력인프라·원전,,,
353200,대덕전자,"6,582,334,410,000",반도체,,,
326030,SK바이오팜,"6,492,168,425,000",바이오·의료기기,,,
058470,리노공업,"6,424,658,955,000",반도체,,,
028300,HLB,"6,353,555,237,100",바이오·의료기기,,,
001440,대한전선,"6,075,770,476,000",전력기기·전력인프라·원전,,,
021240,코웨이,"6,064,768,408,200",K소비재·유통,,,
032640,LG유플러스,"6,035,362,349,040",인터넷·소프트웨어·게임·콘텐츠,,,
039030,이오테크닉스,"5,974,981,750,000",반도체,,,
078930,GS,"5,805,968,437,500",금융·지주,,,
241560,두산밥캣,"5,760,949,506,500",전기전자,,,
034220,LG디스플레이,"5,685,000,000,000",전기전자,,,
090430,아모레퍼시픽,"5,673,797,623,000",K소비재·유통,,,
454910,두산로보틱스,"5,509,698,300,000",전기전자,,,
319660,피에스케이,"5,451,535,574,800",반도체,,,
000500,가온전선,"5,442,684,835,000",전력기기·전력인프라·원전,,,
029780,삼성카드,"5,335,301,930,550",금융·지주,,,
141080,리가켐바이오,"5,290,074,832,200",바이오·의료기기,,,
000100,유한양행,"5,288,600,706,400",바이오·의료기기,,,
267270,HD건설기계,"5,280,993,049,400",건설·운송·상사,,,
009830,한화솔루션,"5,268,506,228,400",정유·화학·석유화학,,,
011790,SKC,"5,158,222,992,000",2차전지·배터리소재,,,
377300,카카오페이,"5,146,731,466,250",금융·지주,,,
036570,NC,"5,127,477,236,000",인터넷·소프트웨어·게임·콘텐츠,,,
088980,맥쿼리인프라,"5,071,783,905,870",전력기기·전력인프라·원전,,,
271560,오리온,"4,997,367,084,800",K소비재·유통,,,
005385,현대차우,"4,994,965,440,000",자동차·모빌리티,,,
298380,에이비엘바이오,"4,966,087,968,100",바이오·의료기기,,,
023530,롯데쇼핑,"4,942,045,498,500",K소비재·유통,,,
000250,삼천당제약,"4,937,797,856,000",바이오·의료기기,,,
138930,BNK금융지주,"4,927,993,284,040",금융·지주,,,
128940,한미약품,"4,688,822,706,000",바이오·의료기기,,,
222800,심텍,"4,675,498,588,800",전기전자,,,
001040,CJ,"4,376,549,700,000",금융·지주,,,
403870,HPSP,"4,337,210,000,000",반도체,,,
